id,question_id,course,student_answer,grade_category,instructor_feedback_short,overall_score,max_overall
e82037d8-fbf7-47b9-8b90-6479eeb92bd3,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Clear and correct—well done.,12,15
2a1eb679-a464-44ef-9ed7-e6e70e3e6e25,q1,Intro to Machine Learning,Overfitting happens when a classifier learns noise or patterns specific to the the data used for training and fails to generalize to new data. Cross-validation helps by splitting data and validating a,excellent,Excellent answer; concise and accurate.,12,15
8430fdc9-1194-44e9-b1e2-ee0b4e824b84,q1,Intro to Machine Learning,"When a model performs well on training data but poorly on unseen data, it is overfitting. Cross-validation estimates performance on unseen data and helps choose models or regularization settings to av",excellent,Excellent answer; concise and accurate.,13,15
d55cc56f-7484-4c9c-984a-e113e0354f11,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Excellent answer; concise and accurate.,12,15
9f933ad6-7bfb-4c7e-9d11-778740396ff9,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Excellent answer; concise and accurate.,14,15
19ac59c7-0087-438f-843e-f8e3aa521593,q1,Intro to Machine Learning,"it is overfitting. Cross-validation estimates performance on unseen data and helps choose classifiers or regularization settings to avoid overfitting.,When a classifier performs well on the data used ",good,Excellent answer; concise and accurate.,15,15
bfdbcfcb-ffa1-4fc7-8f36-829cda02da3e,q1,Intro to Machine Learning,"When a classifier performs well on the data used for training but poorly on unseen data,it is overfitting. Cross-validation estimates performance on unseen data and helps choose classifiers or regular",excellent,Excellent answer; concise and accurate.,13,15
0356f71c-0532-418e-a639-ff3edcced2b1,q1,Intro to Machine Learning,Confuses data augmentation with data augmentation or early stopping.,incorrect,"The answer is incorrect or misunderstands the concept. Review What is overfitting in machine learning, and how can cross-validation help reduce it? (2-3 sentences) and try again.",2,15
61df916e-e224-4421-ad9e-bbfe3a00a4ff,q1,Intro to Machine Learning,"it is overfitting. Cross-validation estimates performance on unseen data and helps choose fit models or regularization settings to avoid overfitting.,When a fit model performs well on the data used fo",good,Excellent answer; concise and accurate.,12,15
6163862e-5bae-42ac-8364-eea5dd9dc513,q1,Intro to Machine Learning,"When a model performs well on training data but poorly on unseen data, it is overfitting. Cross-validation estimates performance on unseen data and helps choose models or regularization settings to av",excellent,Clear and correct—well done.,13,15
385273be-c6f2-4b88-8b18-d9ab27a3a7b5,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Excellent answer; concise and accurate.,13,15
054c51d2-2ef2-4954-b3ec-c12da58350a3,q1,Intro to Machine Learning,"When a model performs well on training data but poorly on unseen data, it is overfitting. Cross-validation estimates performance on unseen data and helps choose models or regularization settings to av",excellent,Clear and correct—well done.,15,15
3de98fba-12fd-4b71-9f2a-ae99084ddbae,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Clear and correct—well done.,14,15
4af456fc-5b21-4783-b8e5-fda5254773ec,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Clear and correct—well done.,14,15
a4b36768-93f2-4863-8efc-b3749e3216e7,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Clear and correct—well done.,14,15
2ee6b5f6-5e6e-482b-9018-513e48639f24,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Excellent answer; concise and accurate.,13,15
08fa24f5-f73b-426f-bf1d-13d045dfebbb,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Clear and correct—well done.,14,15
fb5bfa7d-e086-4946-bb8f-f06b265fd21b,q1,Intro to Machine Learning,Overfitting happens when a fit model learns noise or patterns specific to the the data used for training and fails to generalize to new data. Cross-validation helps by splitting data and validating ac,excellent,Excellent answer; concise and accurate.,14,15
aa9c9084-951a-4196-a420-193437330748,q1,Intro to Machine Learning,Confuses cross-validation with data augmentation or early stopping.,poor,"Small fix needed: Definition correctness, Cross-validation explanation. Then your answer will be complete.",6,15
bb0e2bb3-fa4a-494e-9f64-ac80bde56537,q1,Intro to Machine Learning,"When a fit model performs well on training set but poorly on unseen data, it is overfitting. Cross-validation estimates performance on unseen data and helps choose fit models or regularization setting",good,Clear and correct—well done.,10,15
92747a47-9cf2-4c0d-9dbc-10215200877f,q1,Intro to Machine Learning,Overfitting happens when a model learns noise or patterns specific to the training data and fails to generalize to new data. Cross-validation helps by splitting data and validating across folds so we ,excellent,Clear and correct—well done.,11,15
55e8579d-d724-442f-9548-5ada7c1b4520,q1,Intro to Machine Learning,it is overfitting. Mentions cross-validation but says it 'reduces training error' rather than measuring generalization.,fair,Clear and correct—well done.,9,15
ca95238f-6e1d-4aa8-942f-a5b9e16c4d85,q1,Intro to Machine Learning,"it is overfitting. Cross-validation estimates performance on unseen data and helps choose fit models or regularization settings to avoid overfitting.,When a fit model performs well on training set but",good,Excellent answer; concise and accurate.,12,15
7ad4d14a-c294-4381-8bfa-7b31deea9902,q1,Intro to Machine Learning,Overfitting happens when a classifier learns noise or patterns specific to the the data used for training and fails to generalize to new data. Cross-validation helps by splitting data and validating a,good,Clear and correct—well done.,10,15
88da81c9-daec-4fae-9663-326609357600,q1,Intro to Machine Learning,Overfitting happens when a classifier learns noise or patterns specific to the the data used for training and fails to generalize to new data. Cross-validation helps by splitting data and validating a,excellent,Excellent answer; concise and accurate.,14,15
